brand,url_part,title,final Price,Original Price,product desc,material
AKS,kurtas/aks/aks-women-white--peach-coloured-chanderi-silk-printed-a-line-kurta/2111418/buy,Printed A-Line Kurta,999,1999,"White and peach-coloured printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits, attached lining",Chanderi silk  Dry-clean
AKS,kurtas/aks/aks-women-green-solid-anarkali-kurta/2250066/buy,Solid Anarkali Kurta,649,1299,"Green solid Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-orange--off-white-printed-straight-kurta/2250040/buy,Printed Straight Kurta,699,999,"Orange and off-white printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-blue--rust-red-printed-a-line-kurta/1945108/buy,Printed A-Line Kurta,749,1499,"Blue and rust red printed A-line kurta, has a round neck, sleeveless, drawstring fastening, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-coffee-brown-solid-straight-kurta/2448878/buy,Solid Straight Kurta,560,1099,"Coffee brown solid straight kurta with printed detail, has a shirt collar, three-quarter sleeves, a straight hem, and side slits",CottonMachine-wash cold
AKS,kurtas/aks/aks-women-blue--white-printed-anarkali-kurta/1975422/buy,Printed Anarkali Kurta,809,1799,"Blue and white printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-navy-blue--white-printed-anarkali-kurta/2463737/buy,Printed Anarkali Kurta,1049,1499,"Navy Blue and white printed Anarkali kurta, has a round neck, short sleeves, flared hem, no slits",Cotton  Hand-wash
AKS,kurtas/aks/aks-women-black--rust-printed-anarkali-kurta/2127696/buy,Printed Anarkali Kurta,849,1699,"Black and rust printed anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-green-printed-off-shoulder-straight-kurta/1945081/buy,Printed Straight Kurta,458,899,"Green printed straight kurta, has an off-shoulder, sleeveless, straight hem, side slits",Cotton Machine-wash cold
AKS,kurtas/aks/aks-women-beige--red-printed-anarkali-kurta/2127697/buy,Printed Anarkali Kurta,799,1599,"Beige and red printed anarkali kurta, has a V-neck, three-quarter sleeves, flared hem, no slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-cream-coloured--maroon-printed-straight-kurta/2250063/buy,Printed Straight Kurta,629,899,"Cream-coloured and maroon printed straight kurta, has a notched round neck with tassel detail, short sleeves, a straight hem, and side slits",CottonMachine-wash cold
AKS,kurtas/aks/aks-women-yellow--red-printed-anarkali-kurta/2249988/buy,Printed Anarkali Kurta,649,1299,"Yellow, red and green printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-blue--yellow-printed-a-line-kurta/2448951/buy,Printed A-Line Kurta,844,1299,"Blue and yellow printed A-line kurta, has a mandarin collar, short sleeves, flared hem, multiple slits",RayonMachine-wash
AKS,kurtas/aks/aks-women-navy-blue-straight-kurta/2167399/buy,Straight Kurta,749,1499,"Navy blue straight kurta with embroidered detail, has a notched round neck, three-quarter sleeves, straight hem, side slits",Cotton and silk blendMachine-wash
AKS,kurtas/aks/aks-women-grey--white-printed-a-line-kurta/2493397/buy,Printed A-Line Kurta,1049,1499,"Grey and white printed A-line kurta, has a mandarin collar, short sleeves, flared hem, multiple slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-olive-green--blue-printed-anarkali-kurta/2262323/buy,Printed Anarkali Kurta,999,1999,"Olive green and blue printed Anarkali kurta, has a round neck, long sleeves, and a flared hem",RayonMachine-wash cold
AKS,kurtas/aks/aks-women-maroon--green-printed-anarkali-kurta/2111400/buy,Printed Anarkali Kurta,799,1599,"Maroon and green printed Anarkali kurta, has a V-neck, short sleeves, curved hem",Cotton  Dry-clean
AKS,kurtas/aks/aks-women-white--blue-printed-straight-kurta/1945075/buy,Printed Straight Kurta,629,899,"White and blue printed straight kurta, has a round neck, sleeveless, straight hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-yellow--green-printed-layered-a-line-kurta/2493387/buy,Printed Layered A-Line Kurta,1044,1899,"Yellow, green and white printed layered A-line kurta, has a round neck, sleeveless, tie-up detail on the sides, flared hem, no slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-mustard-yellow-kalamkari-print-anarkali-kurta/2095443/buy,Kalamkari Print Anarkali Kurta,815,1599,"Mustard yellow kalamkari print Anarkali kurta, has a round neck, three-quarter sleeves, flared hem",Cotton  Machine-wash
